cells,samples,cell.types,treatment.group,Cohort,no.of.genes,no.of.reads,genes_detected_counts,n_counts
Cy81_FNA_CD45_D04_S232_comb,Mel81,T.CD8,treatment.naive,Tirosh,2028,47174,1863,7104.559376006066
cy75_1B_CD45pos_S69,Mel75,Macrophage,post.treatment,New,5388,932783,5235,10074.08927024458
cy105_CD45pos_calceinpos_S27,Mel105,T.CD4,treatment.naive,New,4850,964670,4679,8597.821656564292
cy94_cd45neg_cd90pos_F04_S352_comb,Mel94,Endo.,post.treatment,Tirosh,5790,816514,5590,13006.788694955667
cy80_CD_90_pos_E04_S916_comb,Mel80,CAF,treatment.naive,Tirosh,9578,206118,9455,19617.451546201424
cy129PA_CD45pos_S4,Mel129pa,T.CD4,treatment.naive,New,3832,427192,3632,7798.4497092071715
cy103_CD45pos_S105,Mel103,T.cell,treatment.naive,New,5315,422578,5129,11179.61756450272
cy79_p3_CD45_pos_PD1_neg_G07_S175_comb,Mel79,B.cell,treatment.naive,Tirosh,3635,183835,3427,7984.639517321129
cy129PB_CD45pos_S269,Mel129pb,T.CD8,treatment.naive,New,5006,1714123,4840,8735.7014343298
CY75_1_CD45_CD8_7__S255_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5154,495323,4969,11312.040604334295
CY94CD45POS_1_C01_S121_comb,Mel94,B.cell,post.treatment,Tirosh,6484,374646,6301,13724.303391978716
CY88CD45_150813_H10_S382_comb,Mel88,T.cell,post.treatment,Tirosh,2188,134010,1989,5189.797243962498
CY75_1_CD45_CD8_7__S203_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4109,246769,3913,9916.316416803493
cy60_1_cd_45_pos_3_B04_S304_comb,Mel60,T.CD4,post.treatment,Tirosh,3191,71946,2992,10535.019912423033
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B06_S498_comb,Mel79,T.CD4,treatment.naive,Tirosh,2092,15872,1977,8220.962797234588
cy105_CD45neg_S265,Mel105,Endo.,treatment.naive,New,6088,991484,5944,11992.36646374259
cy94_cd45pos_G01_S169_comb,Mel94,B.cell,post.treatment,Tirosh,3373,122153,3143,8076.661234367317
CY88CD45_150813_E09_S345_comb,Mel88,Macrophage,post.treatment,Tirosh,6844,1128015,6689,13880.456802189343
Cy74_CD45_G08_S464_comb,Mel74,T.cell,post.treatment,Tirosh,3101,155197,2926,8644.95731363993
cy94_cd45pos_4_E08_S56_comb,Mel94,T.CD4,post.treatment,Tirosh,5203,371159,4998,10908.624299172994
cy106_CD45pos_S273,Mel106,B.cell,post.treatment,New,4293,838459,4125,6502.156182983928
cy60_1_cd_45_pos_3_B08_S308_comb,Mel60,T.CD4,post.treatment,Tirosh,2559,45713,2405,9367.53742049361
cy58_1_CD45_pos_F10_S646_comb,Mel58,T.CD8,post.treatment,Tirosh,2499,20620,2288,9006.021229475396
monika_C9_S125_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,4976,714254,4812,9318.075136639794
cy102_CD45pos_S218,Mel102,T.CD4,post.treatment,New,4068,530443,3897,7256.2994249658495
cy102_CD45pos_S170,Mel102,T.CD4,post.treatment,New,5426,1125517,5284,10626.023978824374
cy128_CD45pos_S174,Mel128,B.cell,treatment.naive,New,3369,565978,3162,5613.68025276783
cy80_CD45_neg_D02_S422_comb,Mel80,?,treatment.naive,Tirosh,2717,80307,2508,8028.039533179132
cy75_1CORE_CD45pos_S17,Mel75,T.CD8,post.treatment,New,5101,584794,4950,9735.38823844141
MGH00478_CD45pos_1_S195,Mel478,T.CD4,treatment.naive,New,3792,382671,3605,7169.312339689661
cy60_1_cd_45_pos_3_F11_S359_comb,Mel60,T.CD4,post.treatment,Tirosh,3172,79591,2956,10008.689608251663
cy53_1_CD45_pos_1_G01_S73_comb,Mel53,T.CD8,treatment.naive,Tirosh,4971,305622,4756,10603.85434007613
CY58_1_CD45_A07_S967_comb,Mel58,T.CD8,post.treatment,Tirosh,3223,306944,3020,8208.461807406145
CY75_1FNA_A03_S483_comb,Mel75,T.CD8,post.treatment,Tirosh,2719,33418,2495,9258.198878517016
Cy80_II_CD45_A04_S868_comb,Mel80,?,treatment.naive,Tirosh,4642,213345,4420,12705.41789286218
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E12_S540_comb,Mel79,B.cell,treatment.naive,Tirosh,3094,24056,2922,10572.030833559415
cy121.1_CD45pos_S379,Mel121.1,T.CD4,post.treatment,New,4425,775406,4248,7590.018048134078
Cy74_CD45_C01_S409_comb,Mel74,T.CD8,post.treatment,Tirosh,3190,144451,2981,8602.396092111165
cy102_CD45pos_S154,Mel102,T.CD4,post.treatment,New,4870,756974,4708,10086.276278922138
cy80_Cd45_pos_Pd1_neg_S200_A08_S200_comb,Mel80,B.cell,treatment.naive,Tirosh,4196,180141,3968,9885.8593712346
CY75_1_CD45_CD8_3__S119_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3378,148528,3179,8805.941330124333
cy79_p5_CD45_pos_PD1_pos_C02_S602_comb,Mel79,T.CD8,treatment.naive,Tirosh,3965,239407,3759,9485.162585323924
CY75_1_CD45_CD8_7__S210_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,6342,233611,6223,15126.681665598438
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E07_S1015_comb,Mel60,T.cell,post.treatment,Tirosh,3237,122674,3032,9446.455584158484
cy98_CD45pos_CD8pos_S1,Mel98,T.CD8,post.treatment,New,5105,1212257,4953,10310.444613322114
cy106_CD45pos_S301,Mel106,T.cell,post.treatment,New,4582,1239586,4441,7429.2663257574095
Cy81_FNA_CD45_C01_S217_comb,Mel81,?,treatment.naive,Tirosh,3757,336239,3556,9040.555301603254
Cy81_FNA_CD45_G01_S265_comb,Mel81,T.CD8,treatment.naive,Tirosh,3518,292554,3301,8509.965691589587
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D05_S233_comb,Mel79,T.CD4,treatment.naive,Tirosh,4360,80555,4137,12108.424603615755
cy110_CD45pos_S251,Mel110,Macrophage,post.treatment,New,6811,1047057,6634,11934.314783960308
cy53_1_CD45_neg_B04_S304_comb,Mel53,CAF,treatment.naive,Tirosh,4128,55326,3964,11864.277101642128
cy110_CD45pos_S241,Mel110,Macrophage,post.treatment,New,5527,282825,5364,12101.652322968894
cy105_CD45pos_S248,Mel105,T.CD4,treatment.naive,New,4923,767220,4788,9538.554655911583
cy110_CD45pos_S197,Mel110,Macrophage,post.treatment,New,7262,1187307,7070,12346.460725833564
cy80_Cd45_pos_Pd1_neg_S339_G03_S339_comb,Mel80,B.cell,treatment.naive,Tirosh,2442,20632,2272,8856.426859888052
cy79_p4_CD45_pos_PD1_pos_H09_S381_comb,Mel79,T.CD8,treatment.naive,Tirosh,3382,172199,3153,8053.053789031721
CY89A_Core_15_B08_S20_comb,Mel89,B.cell,treatment.naive,Tirosh,3363,113696,3148,8598.179448522607
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F10_S550_comb,Mel79,B.cell,treatment.naive,Tirosh,2263,15158,2108,8778.84117009224
CY75_1_CD45_CD8_8__S344_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4762,162252,4586,12321.750117765401
cy94_cd45pos_4_E06_S54_comb,Mel94,T.CD8,post.treatment,Tirosh,4508,321657,4295,9095.68672660401
cy88_cd_45_pos_3_C07_S607_comb,Mel88,T.cell,post.treatment,Tirosh,2831,116816,2589,7212.0022562059585
cy04.3_CD45pos_S8,Mel04.3,T.CD8,post.treatment,New,3822,350730,3613,7706.589136038992
CY75_1_CD45_CD8_8__S359_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,2290,88444,2115,5283.770175180258
cy88_cd_45_pos_B01_S397_comb,Mel88,T.cell,post.treatment,Tirosh,2447,31021,2302,9244.235349873397
CY88CD45_150813_C03_S315_comb,Mel88,Macrophage,post.treatment,Tirosh,7290,1534072,7117,14109.34357384744
cy53_1_CD45_pos_1_C11_S35_comb,Mel53,T.CD4,treatment.naive,Tirosh,3887,128670,3673,9455.500474328104
cy79_p3_CD45_pos_PD1_neg_G10_S178_comb,Mel79,B.cell,treatment.naive,Tirosh,4297,148841,4106,9263.33136445903
cy105_CD45pos_S215,Mel105,T.cell,treatment.naive,New,4203,258103,3995,9142.648029608255
cy110_CD45pos_S302,Mel110,T.CD4,post.treatment,New,4643,456652,4511,7572.3694827586805
cy98_CD45pos_1_S214,Mel98,T.CD8,post.treatment,New,4287,941479,4146,6901.051665051507
cy88_cd_45_pos_B09_S405_comb,Mel88,T.CD8,post.treatment,Tirosh,3101,34702,2985,11575.37842599417
cy60_1_cd_45_pos_3_A06_S294_comb,Mel60,B.cell,post.treatment,Tirosh,2437,36434,2253,8623.060585898607
cy79_p4_CD45_pos_PD1_pos_F09_S357_comb,Mel79,T.CD8,treatment.naive,Tirosh,3364,159628,3136,8648.740075287502
cy84_Primary_CD45_pos_A10_S394_comb,Mel84,B.cell,treatment.naive,Tirosh,3867,140243,3624,10203.978567501079
cy82_CD45_pos_1_D05_S521_comb,Mel82,T.cell,treatment.naive,Tirosh,2773,209680,2571,5801.21379710613
cy74_CD45_pos_B04_S688_comb,Mel74,T.CD8,post.treatment,Tirosh,2956,73960,2744,8565.334827475783
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C01_S217_comb,Mel79,T.CD8,treatment.naive,Tirosh,4544,67207,4303,12624.654705641695
cy98_CD45pos_2_S331,Mel98,Macrophage,post.treatment,New,5994,690429,5795,12511.088303496794
cy98_CD45pos_CD8pos_S71,Mel98,T.CD8,post.treatment,New,5427,858624,5273,11420.640497377794
cy129PA_CD45pos_S75,Mel129pa,B.cell,treatment.naive,New,3909,684524,3714,6267.809464517649
CY94CD45POS_1_F12_S168_comb,Mel94,B.cell,post.treatment,Tirosh,5691,183926,5464,12142.370589101765
cy128_CD45pos_S114,Mel128,T.cell,treatment.naive,New,3761,949970,3573,5545.327048525774
CY75_1_CD45_CD8_8__S361_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4581,246096,4366,11568.120573563298
cy129PA_CD45pos_S68,Mel129pa,Macrophage,treatment.naive,New,8999,536531,8825,14430.522892766534
cy105_CD45pos_S234,Mel105,T.cell,treatment.naive,New,4513,405963,4318,9482.037922277952
cy126_CD45pos_1_S87,Mel126,T.cell,post.treatment,New,3940,381499,3760,7172.277165774736
cy98_CD45pos_CD8pos_S33,Mel98,T.CD8,post.treatment,New,4834,327063,4631,10674.062011428656
cy58_1_CD45_pos_H07_S667_comb,Mel58,T.CD8,post.treatment,Tirosh,2782,21081,2568,9814.969327284212
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F09_S453_comb,Mel79,T.CD8,treatment.naive,Tirosh,2545,32551,2371,8952.23679781777
CY89COREQ1_G07_S367_comb,Mel89,B.cell,treatment.naive,Tirosh,2722,57000,2541,7594.702725351425
cy106_CD45neg_CD90neg_S317,Mel106,CAF,post.treatment,New,1851,859197,1761,6327.2746407165105
cy79_p4_CD45_pos_PD1_pos_D02_S326_comb,Mel79,T.CD8,treatment.naive,Tirosh,3564,180617,3351,8754.593427800717
cy94_cd45pos_F01_S157_comb,Mel94,T.CD8,post.treatment,Tirosh,4660,203282,4449,10027.007092267058
cy60_1_cd_45_pos_4_H08_S92_comb,Mel60,B.cell,post.treatment,Tirosh,5111,172624,4920,13199.365389100152
cy103_CD45pos_S234,Mel103,B.cell,treatment.naive,New,6306,554010,6110,11440.96690696856
cy102_CD45pos_S266,Mel102,T.cell,post.treatment,New,7173,936044,6953,13361.488113812662
MGH00478_CD45pos_1_S196,Mel478,T.CD8,treatment.naive,New,3824,450450,3658,7868.575084846815
cy80_Cd45_pos_Pd1_neg_S289_E01_S289_comb,Mel80,B.cell,treatment.naive,Tirosh,3959,87397,3720,10445.787800942586
cy98_CD45pos_CD8pos_S34,Mel98,T.CD8,post.treatment,New,4841,306721,4640,10711.635388827122
cy103_CD45pos_S190,Mel103,T.CD8,treatment.naive,New,4097,702402,3914,7488.97175395676
cy72_CD45_pos_A10_S874_comb,Mel72,T.CD4,post.treatment,Tirosh,3017,97964,2790,8552.005556408863
CY88CD45POS_2_F04_S448_comb,Mel88,Macrophage,post.treatment,Tirosh,4430,808191,4217,8364.497319741571
monika_B1_S108_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,4548,597564,4377,9178.854718691677
cy116_CD45pos_S359,Mel116,T.CD4,treatment.naive,New,3292,181369,3078,7004.507463449367
CY89A_CD45_POS_6_G10_S178_comb,Mel89,T.cell,treatment.naive,Tirosh,2857,94005,2597,7794.02170233248
Cy81_FNA_CD45_A10_S202_comb,Mel81,T.cell,treatment.naive,Tirosh,2201,92127,1997,6874.154680145101
MGH00478_CD45pos_2_S340,Mel478,T.cell,treatment.naive,New,4218,570965,4031,8302.61361994379
cy102_CD45pos_S248,Mel102,Macrophage,post.treatment,New,4366,851207,4187,8275.920287290464
Cy74_CD45_E01_S433_comb,Mel74,T.cell,post.treatment,Tirosh,2097,62862,1916,6539.803964498007
cy80_CD45_neg_F12_S936_comb,Mel80,Endo.,treatment.naive,Tirosh,2972,8719,2917,12166.707381704182
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F06_S450_comb,Mel79,T.CD8,treatment.naive,Tirosh,2124,16618,1971,8347.584075593652
cy103_CD45pos_S226,Mel103,T.CD8,treatment.naive,New,5375,916568,5213,9801.393047973905
CY89COREQ1_B11_S311_comb,Mel89,T.CD8,treatment.naive,Tirosh,4872,203917,4637,9029.371505970139
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_B09_S213_comb,Mel79,T.cell,treatment.naive,Tirosh,2420,25472,2274,9122.583331874475
cy129PB_CD45pos_S223,Mel129pb,T.CD4,treatment.naive,New,4968,1689461,4821,8784.824729195603
Cy81_FNA_CD45_B06_S210_comb,Mel81,T.cell,treatment.naive,Tirosh,3702,556894,3525,6730.413563650502
cy80_Cd45_pos_PD1_pos_S142_F10_S142_comb,Mel80,T.cell,treatment.naive,Tirosh,4098,126799,3854,10666.039518217276
CY75_1FNA_G03_S555_comb,Mel75,T.cell,post.treatment,Tirosh,3343,73364,3127,9264.00446555017
cy126_CD45pos_1_S89,Mel126,T.cell,post.treatment,New,4336,458330,4155,8631.695229710384
cy53_1_CD45_pos_2_D10_S1006_comb,Mel53,Macrophage,treatment.naive,Tirosh,2457,226373,2256,5623.934454551595
CY94CD45POS_1_F09_S165_comb,Mel94,B.cell,post.treatment,Tirosh,3119,79760,2892,8074.906390405775
cy53_1_CD45_pos_1_B11_S23_comb,Mel53,T.cell,treatment.naive,Tirosh,3930,65799,3743,9821.37491308567
cy121.1_CD45pos_S347,Mel121.1,Macrophage,post.treatment,New,5481,995902,5329,10216.763631386528
Merck_CD45pos_pl4_S74,Mel194,T.CD8,post.treatment,New,4191,649221,4036,7618.900457071952
CY89COREQ1_A07_S295_comb,Mel89,T.CD8,treatment.naive,Tirosh,3488,101542,3280,9232.317337948858
cy60_1_cd_45_pos_3_E06_S342_comb,Mel60,B.cell,post.treatment,Tirosh,3712,164412,3495,9772.264853257431
Cy74_CD45_H12_S480_comb,Mel74,T.cell,post.treatment,Tirosh,4419,12491,4310,15195.003411336309
Cy71_CD45_C01_S505_comb,Mel71,T.CD4,treatment.naive,Tirosh,2674,150994,2487,6691.4227054151015
cy98_CD45pos_CD8pos_S84,Mel98,T.CD8,post.treatment,New,3579,875524,3404,6480.62883191841
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C07_S991_comb,Mel60,B.cell,post.treatment,Tirosh,3357,88238,3146,9939.523035065
cy98_CD45pos_1_S240,Mel98,?,post.treatment,New,1992,577961,1881,6004.576400338024
cy121.1_CD45pos_S333,Mel121.1,Macrophage,post.treatment,New,4984,886202,4835,9153.845456446794
cy94_cd45neg_cd90pos_E06_S342_comb,Mel94,T.CD4,post.treatment,Tirosh,6213,1005111,6026,12360.617340994924
monika_D4_S129_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,5075,1266894,4947,8825.604391936175
cy129PA_CD45pos_S28,Mel129pa,T.CD8,treatment.naive,New,5459,864247,5284,11083.724655991478
cy84_Met_CD45_pos_F04_S928_comb,Mel84,T.cell,treatment.naive,Tirosh,2850,123403,2670,8099.092526615668
cy82_CD45_pos_3_H10_S94_comb,Mel82,T.CD8,treatment.naive,Tirosh,3046,39620,2893,10628.752148487813
cy94_cd45pos_4_A09_S9_comb,Mel94,T.CD8,post.treatment,Tirosh,4524,297180,4335,9415.183932985006
cy84_Primary_CD45_pos_H01_S469_comb,Mel84,B.cell,treatment.naive,Tirosh,4072,208504,3849,9183.294509691983
CY75_1FNA_E11_S539_comb,Mel75,T.CD8,post.treatment,Tirosh,3697,83859,3460,10430.683401016922
cy84_Primary_CD45_pos_E04_S436_comb,Mel84,T.cell,treatment.naive,Tirosh,3661,200200,3450,8071.241084721612
cy98_CD45pos_2_S364,Mel98,Macrophage,post.treatment,New,4669,805386,4502,9874.881438449831
Cy72_CD45_E01_S721_comb,Mel72,T.CD4,post.treatment,Tirosh,3029,131527,2814,7304.7947890103405
CY116CD45neg_CD90neg_S196,Mel116,?,treatment.naive,New,4769,1475095,4665,7659.417237472646
cy98_CD45pos_1_S237,Mel98,T.CD4,post.treatment,New,3508,452305,3306,6877.344900705253
cy04.3_CD45pos_S17,Mel04.3,T.CD8,post.treatment,New,3809,699435,3628,6001.210074785726
MGH00478_CD45pos_1_S214,Mel478,T.CD4,treatment.naive,New,4243,457815,4050,8445.209614779698
cy106_CD45pos_S227,Mel106,B.cell,post.treatment,New,3094,875416,2937,3899.8934983403087
cy80_CD_90_pos_A02_S866_comb,Mel80,CAF,treatment.naive,Tirosh,7594,322825,7387,17559.81227275365
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G06_S558_comb,Mel79,B.cell,treatment.naive,Tirosh,2913,28302,2704,9764.999838572528
cy82_CD45_pos_3_G11_S83_comb,Mel82,T.cell,treatment.naive,Tirosh,2432,13982,2309,8203.537802814393
cy126_CD45pos_1_S17,Mel126,Macrophage,post.treatment,New,5380,704555,5220,10747.616947487366
cy129PA_CD45pos_S43,Mel129pa,Macrophage,treatment.naive,New,5537,1040444,5324,9491.571421459925
cy60_1_cd_45_pos_4_E08_S56_comb,Mel60,T.cell,post.treatment,Tirosh,3073,104165,2842,9211.495907345154
cy105_Zombineg_CD45neg_CD90neg_S151,Mel105,?,treatment.naive,New,2468,559626,2301,4831.803815003279
cy98_CD45pos_CD8pos_S73,Mel98,T.CD8,post.treatment,New,4036,618762,3865,8242.189589480427
cy106_CD45pos_S222,Mel106,B.cell,post.treatment,New,4178,951259,4038,6340.563238957278
cy80_Cd45_pos_PD1_pos_B07_S43_comb,Mel80,T.CD8,treatment.naive,Tirosh,4280,109096,4033,11643.260095610127
CY75_1_CD45_CD8_3__S128_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4487,173812,4295,12265.105861810911
cy98_CD45pos_1_S208,Mel98,T.cell,post.treatment,New,4640,1212666,4470,7066.942362494179
Cy72_CD45_C02_S698_comb,Mel72,T.CD4,post.treatment,Tirosh,3718,262769,3500,8524.262771954182
CY89A_CD45_POS_6_B11_S119_comb,Mel89,T.cell,treatment.naive,Tirosh,3543,221290,3326,7092.3159438980965
cy102_CD45pos_S208,Mel102,T.CD4,post.treatment,New,4753,392472,4566,8871.007762490604
cy75_1B_CORE_CD45neg_S132,Mel75,CAF,post.treatment,New,6809,1471488,6666,12930.121360331672
cy74_CD45_pos_C05_S701_comb,Mel74,T.CD8,post.treatment,Tirosh,2790,28854,2635,9972.72496882909
CY88CD45POS_2_G09_S465_comb,Mel88,T.cell,post.treatment,Tirosh,4989,917207,4828,10596.314049627783
cy105_CD45pos_S216,Mel105,T.cell,treatment.naive,New,4469,574802,4319,7980.591035067997
cy102_CD45pos_S160,Mel102,T.CD8,post.treatment,New,5822,410262,5640,12196.386085448397
cy98_CD45pos_2_S374,Mel98,Macrophage,post.treatment,New,5765,1202363,5597,11327.26057011047
cy112_CD45pos_S327,Mel112,T.CD4,treatment.naive,New,5344,1614728,5208,9749.368259196382
Cy74_CD45_E09_S441_comb,Mel74,T.CD8,post.treatment,Tirosh,2605,95181,2407,7619.41907200604
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A08_S968_comb,Mel60,B.cell,post.treatment,Tirosh,3722,100480,3514,11055.547075573815
CY75_1_CD45_CD8_3__S122_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4479,130476,4259,12186.34167637414
CY88CD45_150813_G12_S372_comb,Mel88,Macrophage,post.treatment,Tirosh,4579,686863,4352,9704.67570928867
cy110_CD45pos_S256,Mel110,Macrophage,post.treatment,New,6712,1057676,6536,11656.214903614018
CY75_1FNA_H02_S566_comb,Mel75,T.CD4,post.treatment,Tirosh,3621,65466,3388,10864.744235337443
cy81_Bulk_CD45_neg_H08_S188_comb,Mel81,CAF,treatment.naive,Tirosh,4730,259114,4543,7545.944567487619
cy94_cd45pos_D01_S133_comb,Mel94,B.cell,post.treatment,Tirosh,8976,1217964,8884,15066.730965473971
MGH00478_CD45pos_2_S379,Mel478,B.cell,treatment.naive,New,4664,588234,4485,9535.567683614863
cy75_1CORE_CD45pos_S19,Mel75,T.cell,post.treatment,New,4914,554791,4760,9613.792865371488
cy80_CD45_neg_D07_S427_comb,Mel80,?,treatment.naive,Tirosh,5024,302857,4785,11132.285920630062
cy121.1_CD45neg_S291,Mel121.1,Endo.,post.treatment,New,2474,1527312,2331,6208.8326681714325
cy84_Met_CD45_pos_F09_S933_comb,Mel84,T.CD8,treatment.naive,Tirosh,2568,60483,2399,8722.443793862334
cy80_Cd45_pos_PD1_pos_D05_S89_comb,Mel80,T.CD4,treatment.naive,Tirosh,4114,64418,3919,11986.260711505041
cy94_cd45pos_H10_S190_comb,Mel94,T.cell,post.treatment,Tirosh,3867,277931,3646,8039.515358177523
Cy81_Bulk_CD45_D05_S137_comb,Mel81,?,treatment.naive,Tirosh,3176,259276,2965,6198.621332272422
cy116_CD45pos_S296,Mel116,T.CD4,treatment.naive,New,4153,342361,3972,8731.012838359038
cy98_CD45pos_CD8pos_S62,Mel98,T.CD8,post.treatment,New,3219,812058,3073,5094.869944034609
CY88CD45POS_7_E03_S243_comb,Mel88,B.cell,post.treatment,Tirosh,5093,661784,4883,9460.942397027226
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E02_S1010_comb,Mel60,B.cell,post.treatment,Tirosh,3232,81837,3007,9399.789707237103
cy60_1_cd_45_pos_3_A08_S296_comb,Mel60,B.cell,post.treatment,Tirosh,3716,67504,3506,11723.638950507626
CY58_1_CD45_F12_S1032_comb,Mel58,T.CD8,post.treatment,Tirosh,3287,149412,3071,8277.256924289319
Merck_CD45pos_pl4_S30,Mel194,T.CD4,post.treatment,New,5167,1319861,5035,10268.619219636745
cy60_1_cd_45_pos_3_E12_S348_comb,Mel60,B.cell,post.treatment,Tirosh,3027,35058,2880,10770.909500426296
cy103_CD45pos_S278,Mel103,T.cell,treatment.naive,New,5673,403812,5504,12311.075204160483
MGH00478_CD45pos_2_S375,Mel478,T.CD8,treatment.naive,New,4189,739158,4023,7527.835883691364
CY75_1_CD45_CD8_7__S240_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,6922,243783,6804,16933.38418157357
CY88_5_F07_S739_comb,Mel88,?,post.treatment,Tirosh,3221,36993,3018,9761.42175291649
CY88CD45POS_2_C01_S409_comb,Mel88,Macrophage,post.treatment,Tirosh,7172,1691151,6979,13533.857297076294
CY89A_CD45_POS_6_B08_S116_comb,Mel89,T.CD8,treatment.naive,Tirosh,3371,124180,3128,8425.962873687353
CY89FNA_B07_S211_comb,Mel89,?,treatment.naive,Tirosh,3356,281282,3136,6697.06879105993
CY75_1_CD45_CD8_1__S93_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3965,192394,3753,10126.513903446812
CY88CD45POS_2_D06_S426_comb,Mel88,Macrophage,post.treatment,Tirosh,2763,560375,2594,6488.409968904231
cy110_CD45pos_S314,Mel110,T.cell,post.treatment,New,4559,939448,4358,6505.175672094136
cy94_cd45neg_cd90pos_D03_S327_comb,Mel94,Endo.,post.treatment,Tirosh,4315,300437,4095,9386.498242393014
cy98_CD45pos_2_S380,Mel98,Macrophage,post.treatment,New,5193,874343,5035,11494.22883617043
cy121.1_CD45pos_S345,Mel121.1,T.cell,post.treatment,New,3799,774926,3608,6628.686013661298
cy105_CD45pos_calceinpos_S5,Mel105,T.CD8,treatment.naive,New,4086,304444,3896,9112.732454828709
CY89A_Core_15_H09_S93_comb,Mel89,T.CD8,treatment.naive,Tirosh,3686,192986,3444,8712.42876727071
cy126_CD45pos_1_S49,Mel126,T.CD4,post.treatment,New,4281,858131,4116,7930.209508050535
cy121.1_CD45pos_S336,Mel121.1,T.cell,post.treatment,New,5069,390714,4938,10188.030133435572
Cy81_Bulk_CD45_F04_S160_comb,Mel81,Endo.,treatment.naive,Tirosh,3165,162839,2949,5397.4603064161365
cy103_CD45neg_CD90neg_S58,Mel103,Endo.,treatment.naive,New,3299,434324,3088,6590.381504856164
Cy81_Bulk_CD45_G05_S173_comb,Mel81,?,treatment.naive,Tirosh,2360,198402,2125,4956.203602497693
cy102_CD45pos_S280,Mel102,T.CD4,post.treatment,New,5033,644525,4840,10529.58061686407
cy58_1_CD45_pos_B08_S596_comb,Mel58,T.CD8,post.treatment,Tirosh,4206,72776,3984,11667.200097567506
Merck_CD45pos_pl4_S49,Mel194,T.CD8,post.treatment,New,4868,1109841,4737,9109.364890116143
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H05_S569_comb,Mel79,B.cell,treatment.naive,Tirosh,3063,38713,2859,9240.792732807153
CY89A_CD45_POS_6_G06_S174_comb,Mel89,T.cell,treatment.naive,Tirosh,4072,147130,3824,9026.745207284544
CY75_1_CD45_CD8_3__S190_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5484,432052,5355,12337.596830499795
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D10_S526_comb,Mel79,B.cell,treatment.naive,Tirosh,2773,33070,2610,9101.646305745573
cy94_cd45pos_D09_S141_comb,Mel94,B.cell,post.treatment,Tirosh,4102,64909,3901,11550.67911233988
merck_cd45pos_PL3_S314,Mel194,T.CD4,post.treatment,New,5083,859476,4918,9990.741549522276
cy74_CD45_pos_C06_S702_comb,Mel74,T.CD8,post.treatment,Tirosh,3434,84058,3245,10201.06916196438
CY88CD45_150813_H01_S373_comb,Mel88,T.cell,post.treatment,Tirosh,3568,195893,3360,6857.8550043391115
cy106_CD45pos_S381,Mel106,T.CD4,post.treatment,New,4750,1074339,4601,8313.005791095811
CY75_1_CD45_CD8_3__S147_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5317,229214,5131,13749.06056101656
cy129PA_CD45pos_S29,Mel129pa,Macrophage,treatment.naive,New,4807,655752,4623,9767.838646265805
Cy80_II_CD45_C12_S900_comb,Mel80,Endo.,treatment.naive,Tirosh,3901,138022,3684,10674.283784451516
cy94_cd45neg_cd90pos_F12_S360_comb,Mel94,Endo.,post.treatment,Tirosh,4085,93967,3921,11736.743679956737
cy110_CD45pos_S228,Mel110,T.CD8,post.treatment,New,5433,875246,5287,10128.924131633585
cy128_CD45pos_S134,Mel128,T.CD4,treatment.naive,New,3843,877417,3692,5849.32118574022
cy98_CD45pos_2_S295,Mel98,T.CD8,post.treatment,New,3677,341253,3515,8381.469546401477
CY89A_Core_15_E03_S51_comb,Mel89,T.CD8,treatment.naive,Tirosh,2553,41627,2388,9116.352195658328
cy79_p5_CD45_pos_PD1_pos_F06_S642_comb,Mel79,T.CD8,treatment.naive,Tirosh,3256,132267,3026,8852.521969129903
